,content,description,title
0,"Dog A DayThe cutest pups, every day in your inbox",No wedding is complete without man's best friend.View Entire Post ›,These People Included Their Dogs In Their Weddings In The Sweetest Ways
1,"NBC
I cannot stop laughing!!!! I mean, this has to be the most iconic cold open in the history of cold opens.",Your cue to watch all eight seasons again.View Entire Post ›,"18 Hilarious ""Brooklyn Nine-Nine"" Cold Opens That'll Fill The Void The Show Has Left Behind"
2,Keep up with the latest daily buzz with the BuzzFeed Daily newsletter!,Damn.View Entire Post ›,Rihanna Perfectly Replicated An Instagram Post From Gunna For Her Halloween 2021 Costume
3,"""'Who the fuck do you think you are? You think you're too good for me?' he started shouting. He then smashed his drink against the iron railing (we were on the second floor), splashing drink and ice … [+741 chars]","""There's no way to really describe that hot, sick feeling in your gut when you can just sense the ill intention.""View Entire Post ›",Australian Women Are Sharing Their Stories Of Being Approached By Men In Public Places And It's Making My Blood Boil
4,"""I'm doin hot squirrel sh*t.""","""I'm doin hot squirrel sh*t.""View Entire Post ›",Taylor Swift Dressed Up As A Squirrel For Halloween 2021 And She Had Something Nutty To Say About It Too
5,"Compassionate Eye Foundation / Getty Images
For dogs, it's super dependent on size and breed, as different breeds have very different life expectancies. Also, for both dogs and cats, a lot of aging … [+95 chars]",Jesus was born WHEN?!?View Entire Post ›,"25 ""Facts"" Everyone Agrees Are True That Are...Wait A Minute...Completely False"
6,"""Our ice cream machine works, unlike never mind.""","""Our ice cream machine works, unlike — never mind.""View Entire Post ›",40 Of The Pettiest Signs I've Seen In My Goddamn Life
7,"When it comes to ranch, I don't make the rules.","When it comes to ranch, I don't make the rules.View Entire Post ›","If You Put Ranch On More Than 13 Of These Foods, I'm Sorry, But You're Gross"
8,"NBC / Parks and Recreation / Via youtube.comDonna Meagle is a woman of many pleasures, and she has no problem sharing them with others. Though she finally decides to settle down in Season 7, she spen… [+228 chars]",They always have the best words.View Entire Post ›,"The 50 Best ""Parks And Recreation"" Quotes Of All Time"
9,"""I live for Halloween costumes.""","""I live for Halloween costumes.""View Entire Post ›","Mindy Kaling Dressed Up As Issa Rae, Elle Woods, Ali Wong And More Female Comedy Icons For Halloween"
10,"""I didn't really key into the story.""","""I didn't really key into the story.""View Entire Post ›","Skeet Ulrich Admitted That He Didn't Know ""Scream"" Was A Comedy Until They Started Shooting"
11,Keep up with the latest daily buzz with the BuzzFeed Daily newsletter!,Saweetie did that!View Entire Post ›,"Halle Berry Approved Of Saweetie's ""Catwoman"" Halloween Costume And I Can See Why"
12,"BuzzFeed / Getty Images
Sharon A. Kneiper, Facebook","Teachers, I'm sorry.View Entire Post ›",19 Horrible Parent-Teacher Interactions That Prove Teachers Do NOT Get Paid Enough
13,"Magma Agency / WireImage via Getty Images
This photo is from 1997, and Tamar, Towanda, and Trina were 19, 23, and 21, while Toni was 29.",The Obamas have grown up so much!!View Entire Post ›,"24 Celeb Siblings Where We Can't Even Think Of One Without Mentioning The Other, And What They Looked Like Growing Up"
14,Get ready to see the age-guessing magic at work!,Get ready to see the age-guessing magic at work!View Entire Post ›,The Movie Songs You Know And Don't Are A Total Giveaway To Your Age
15,"I definitely have a big feminine side.""","“I definitely have a big feminine side.""View Entire Post ›","Ed Sheeran Says He Thought He Was Gay ""For A Bit"" When He Was A Kid"
16,"(Psst you should consult with your doctor before trying anything new involving your neck/back area to make sure it's safe for you!)
You can extra personalize the fit based on your needs, too, becaus… [+835 chars]","Time to kick muscle stiffness, blisters, and knee pain to the curb.View Entire Post ›",32 Products For All Your Fitness-Related Aches And Pains
17,"Netflix
Sherry and Cary capitalize on their near-death experience by doling out relationship advice and dunking on Love. Given what we know about them, this venture tracks, but it's also very funny … [+50 chars]",Joe's toes.View Entire Post ›,"Let's Rank The Wildest Moments On ""You"" Season 3 Because There Are A TON"
18,"From celebrity births to sequels to spooky season, we got it all!","From celebrity births to sequels to spooky season, we got it all!View Entire Post ›","It's Halloween, But The Scariest Thing Of All Might Be Your Results On This Week's Pop Culture Quiz"
19,"Ariana Grande / Twitter
The ""POV"" singer even credits the artists who helped put her look together, including her hair stylist Josh Liu, makeup artist and prosthetics specialist Julie Hassett, photo… [+150 chars]",She's the baddest monster in the sea!View Entire Post ›,"Ariana Grande's ""Miss Creature"" Homage To ""Black Lagoon"" Just Proves Why She's The Reigning Halloween Queen"
